,#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
45,1645,DerMarr Johnson,344,5930,2121,770,1872,41.1,274,815,33.6,307,389,78.9,192,577,769,304,198,149,349,48.5,51.9
46,1646,Daequan Cook,328,5993,2114,758,2056,36.9,442,1232,35.9,156,192,81.3,75,628,703,243,120,48,177,47.6,49.4
47,1647,Darius Bazley,237,5535,2113,773,1869,41.4,234,757,30.9,333,492,67.7,194,1050,1244,282,138,177,292,47.6,50.7
48,1647,Louie Nelson,224,4947,2113,819,1874,43.7,,,,475,644,73.8,197,330,527,436,202,21,48,43.7,49.0
49,1649,Jaxson Hayes,311,4929,2111,806,1268,63.6,30,112,26.8,469,663,70.7,412,762,1174,201,138,196,220,64.7,67.7
50,1650,Brian Cardinal,456,6476,2108,664,1628,40.8,243,653,37.2,537,624,86.1,286,764,1050,465,295,69,330,48.2,55.4
0,,,,,,,,,,,,,,,,,,,,,,,
1,1651,Jarron Collins,542,8542,2095,682,1500,45.5,0,5,0.0,731,1046,69.9,645,934,1579,419,138,98,334,45.5,53.4
2,1652,Robert Traylor,438,6243,2085,841,1774,47.4,4,24,16.7,399,691,57.7,671,969,1640,312,280,306,400,47.5,50.2
3,1653,Randy White,281,5382,2083,783,1951,40.1,27,140,19.3,490,693,70.7,531,835,1366,175,209,127,372,40.8,46.2
4,1654,Lew Hitch,414,8364,2075,759,2021,37.6,,,,557,827,67.4,,,2183,499,,,,37.6,43.5
5,1655,Eric Montross,465,8478,2071,891,1819,49.0,0,3,0.0,289,604,47.8,716,1443,2159,207,122,275,405,49.0,49.7
6,1656,Patrick Williams,213,5902,2070,782,1666,46.9,243,592,41.0,263,337,78.0,207,682,889,280,185,158,272,54.2,57.0
7,1657,Gene Conley,351,5791,2069,833,2244,37.1,,,,403,613,65.7,,,2212,201,,,,37.1,41.2
8,1657,Dick Mehen,193,2294,2069,832,2182,38.1,,,,405,571,70.9,,,505,550,,,,38.1,42.5
9,1659,John Trapp,279,4895,2066,846,2014,42.0,,,,374,516,72.5,,,1248,283,,,,42.0,46.1
10,1660,Mike Green,245,5410,2062,832,1808,46.0,0,2,0.0,398,563,70.7,487,842,1329,340,125,372,230,46.0,50.2
11,1660,Bill Hewitt,361,7461,2062,891,2031,43.9,,,,280,499,56.1,30,86,1994,469,9,10,,43.9,45.8
12,1662,Marcus Banks,348,5568,2061,741,1715,43.2,125,382,32.7,454,591,76.8,100,419,519,728,266,57,436,46.9,52.2
13,1663,Brian Roberts,314,5207,2059,753,1831,41.1,217,610,35.6,336,370,90.8,58,364,422,721,132,19,272,47.1,51.6
14,1664,Jack Kerris,271,3572,2057,691,1906,36.3,,,,675,1020,66.2,,,1286,667,,,,36.3,43.7
15,1665,Cherokee Parks,472,7461,2056,868,1848,47.0,8,38,21.1,312,495,63.0,564,1139,1703,265,207,306,281,47.2,49.8
16,1666,Jabari Smith Jr.,155,4875,2054,742,1725,43.0,258,771,33.5,312,391,79.8,261,924,1185,222,95,135,193,50.5,54.1
17,1666,Kenrich Williams,322,6644,2054,833,1780,46.8,276,766,36.0,112,216,51.9,423,945,1368,598,254,90,244,54.6,54.8
18,1668,Lance Thomas,399,7323,2050,748,1796,41.6,165,433,38.1,389,487,79.9,293,728,1021,266,148,55,267,46.2,51.0
19,1668,Hollis Thompson,265,6424,2050,742,1795,41.3,363,941,38.6,203,287,70.7,199,630,829,292,166,68,213,51.4,53.3
20,1670,Ariel Maughan,259,0,2046,744,2659,28.0,,,,558,777,71.8,,,141,311,,,,28.0,34.1
21,1670,Cam Reddish,221,5288,2046,704,1771,39.8,264,814,32.4,374,449,83.3,127,485,612,275,228,80,265,47.2,52.0
22,1672,Precious Achiuwa,263,5227,2041,820,1704,48.1,111,362,30.7,290,477,60.8,510,986,1496,258,134,167,269,51.4,53.3
23,1673,Walter Budko,253,1126,2037,684,2000,34.2,,,,669,884,75.7,,,684,471,,,,34.2,42.6
24,1674,Freddie Crawford,297,5047,2031,832,1864,44.6,,,,367,617,59.5,,,746,610,,,,44.6,47.6
25,1674,Lawrence Funderburke,318,4725,2031,812,1606,50.6,2,17,11.8,405,600,67.5,447,695,1142,183,94,100,225,50.6,54.3
26,1674,Jalen Suggs,176,4578,2031,720,1706,42.2,261,783,33.3,330,438,75.3,129,432,561,569,232,93,369,49.9,53.5
27,1677,Tom Tolbert,312,5680,2030,757,1647,46.0,29,98,29.6,487,680,71.6,406,845,1251,285,116,109,347,46.8,52.2
28,1678,Aaron Nesmith,243,5054,2029,717,1585,45.2,326,871,37.4,269,333,80.8,168,600,768,251,155,97,193,55.5,58.6
29,1679,Don Otten,201,2173,2025,583,1653,35.3,,,,859,1132,75.9,,,928,279,,,,35.3,47.1
30,1680,Michael Holton,325,5836,2016,796,1805,44.1,28,109,25.7,396,491,80.7,131,328,459,977,208,30,409,44.9,49.9
31,1680,Willie Jones,272,4568,2016,846,2153,39.3,,,,324,475,68.2,,,767,545,,,,39.3,42.7
32,1682,Ronnie Price,544,7293,2015,738,1980,37.3,244,808,30.2,295,400,73.8,176,482,658,960,424,56,476,43.4,46.7
33,1683,Art Spoelstra,278,5248,2012,763,1953,39.1,,,,486,701,69.3,,,1273,266,,,,39.1,44.5
34,1684,Sam Mack,259,5030,2011,713,1781,40.0,329,879,37.4,256,308,83.1,109,424,533,336,164,37,220,49.3,52.5
35,1685,Payton Pritchard,267,4738,2009,742,1671,44.4,406,1029,39.5,119,138,86.2,160,485,645,604,115,22,195,56.6,58.0
36,1686,Ralph Beard,126,,2006,749,2046,36.6,,,,508,660,77.0,,,251,551,,,,36.6,42.9
37,1687,Larry Stewart,270,5414,2005,765,1503,50.9,9,44,20.5,466,619,75.3,444,633,1077,338,147,106,346,51.2,56.5
38,1688,Yogi Ferrell,259,5213,1994,723,1721,42.0,289,791,36.5,259,310,83.5,70,467,537,601,167,29,219,50.4,53.7
39,1689,Jevon Carter,376,5959,1992,726,1834,39.6,437,1140,38.3,103,129,79.8,120,528,648,611,229,96,229,51.5,52.7
40,1689,Melvin Ely,375,6002,1992,783,1702,46.0,0,3,0.0,426,682,62.5,448,767,1215,261,99,209,392,46.0,49.7
41,1691,Chris Carr,297,4497,1988,730,1753,41.6,159,470,33.8,369,457,80.7,176,482,658,294,93,46,310,46.2,50.9
42,1692,Joe Strawder,231,6365,1977,737,1729,42.6,,,,503,733,68.6,,,2296,245,,,,42.6,48.2
43,1693,Leo Mogus,231,0,1975,646,1944,33.2,,,,683,954,71.6,,,102,319,,,,33.2,41.8
44,1694,Dick Ricketts,212,5677,1974,749,2285,32.8,,,,476,688,69.2,,,1337,447,,,,32.8,38.1
45,1694,Sharone Wright,203,4532,1974,777,1705,45.6,1,12,8.3,419,678,61.8,419,604,1023,118,82,203,355,45.6,49.3
46,1696,Onyeka Okongwu,233,4847,1972,792,1237,64.0,27,85,31.8,361,479,75.4,539,859,1398,226,136,260,199,65.1,68.1
47,1697,Haywoode Workman,359,7201,1967,748,1786,41.9,119,368,32.3,352,461,76.4,150,669,819,1410,354,21,538,45.2,49.5
48,1698,Derrek Dickey,321,5345,1962,854,1818,47.0,,,,254,341,74.5,563,1012,1575,346,129,60,40,47.0,49.8
49,1699,Ernie Calverley,165,,1961,767,2633,29.1,,,,427,604,70.7,,,,572,,,,29.1,33.8
50,1700,Anthony Avent,352,6729,1958,814,2019,40.3,0,2,0.0,330,481,68.6,560,1024,1584,278,166,211,416,40.3,43.9
0,,,,,,,,,,,,,,,,,,,,,,,
1,1701,Jahidi White,334,5916,1954,736,1443,51.0,0,1,0.0,482,903,53.4,707,1237,1944,63,119,355,397,51.0,53.1
2,1702,Isaiah Hartenstein,322,5786,1947,797,1337,59.6,27,87,31.0,326,473,68.9,685,1127,1812,538,225,289,316,60.6,63.0
3,1703,Marcus Liberty,267,4568,1942,783,1877,41.7,66,194,34.0,310,467,66.4,418,507,925,244,189,73,264,43.5,46.6
4,1704,Eddie Robinson,278,5344,1938,852,1681,50.7,8,32,25.0,226,306,73.9,241,523,764,252,216,91,215,50.9,53.4
5,1705,Timothe Luwawu-Cabarrot,328,5254,1937,648,1657,39.1,320,956,33.5,321,387,82.9,124,532,656,293,132,42,232,48.8,53.0
6,1706,Jerry Chambers,238,3691,1931,822,1860,44.2,,,,287,384,74.7,,,739,182,,,,44.2,47.6
7,1707,Ira Newble,380,7647,1930,782,1753,44.6,85,249,34.1,281,361,77.8,403,711,1114,342,204,105,289,47.0,50.5
8,1708,Gary Brokaw,241,4724,1928,731,1640,44.6,,,,466,654,71.3,87,320,407,715,107,76,12,44.6,50.0
9,1709,Medford Park,313,5632,1924,675,1782,37.9,,,,574,788,72.8,,,967,532,,,,37.9,45.2
10,1710,Adrian Griffin,477,8002,1919,785,1794,43.8,50,180,27.8,299,392,76.3,507,1005,1512,653,436,59,331,45.2,48.8
11,1711,Isaiah Canaan,235,4799,1913,616,1661,37.1,366,1042,35.1,315,377,83.6,63,375,438,454,145,23,259,48.1,52.4
12,1711,Ryan Hollins,518,6134,1913,687,1177,58.4,0,1,0.0,539,830,64.9,457,683,1140,151,94,271,384,58.4,62.0
13,1713,Charles Dudley,361,6337,1908,686,1380,49.7,,,,536,798,67.2,403,680,1089,1230,284,13,227,49.7,55.1
14,1714,John Crotty,477,5795,1903,625,1449,43.1,144,375,38.4,509,608,83.7,136,366,502,999,181,20,428,48.1,55.4
15,1715,Drew Eubanks,323,5138,1902,761,1256,60.6,18,47,38.3,362,493,73.4,473,1009,1482,315,123,274,283,61.3,64.6
16,1715,Greg Minor,277,5145,1902,794,1662,47.8,24,106,22.6,290,378,76.7,258,483,741,384,156,46,225,48.5,52.0
17,1717,Shammond Williams,325,5351,1892,676,1684,40.1,256,700,36.6,284,356,79.8,106,412,518,765,196,14,331,47.7,51.4
18,1718,Cedric Henderson,260,6181,1885,783,1797,43.6,6,43,14.0,313,438,71.5,170,585,755,419,228,111,401,43.7,47.4
19,1719,Al Skinner,203,4460,1884,696,1591,43.7,0,0,0.0,492,609,80.8,206,467,673,526,208,76,235,43.7,50.7
20,1720,Scott Padgett,448,5611,1874,679,1658,41.0,240,644,37.3,276,375,73.6,402,825,1227,325,182,86,253,48.2,51.4
21,1721,Todd Lichti,237,4240,1870,733,1595,46.0,19,78,24.4,385,488,78.9,177,328,505,325,179,45,254,46.6,51.7
22,1722,Mitchell Butler,362,5461,1868,707,1613,43.8,95,313,30.4,359,576,62.3,246,471,717,342,214,53,353,46.8,50.0
23,1723,Lamar Green,360,6448,1863,778,1808,43.0,,,,307,472,65.0,113,346,2295,263,36,43,,43.0,46.2
24,1723,Quinton Ross,458,8453,1863,764,1824,41.9,49,154,31.8,286,402,71.1,267,680,947,431,263,129,217,43.2,46.6
25,1725,Bill Tosheff,203,6339,1859,634,2012,31.5,,,,591,745,79.3,,,608,661,,,,31.5,39.7
26,1726,Keith Askins,486,7979,1852,677,1688,40.1,275,774,35.5,223,311,71.7,525,903,1428,375,278,170,321,48.3,50.7
27,1727,Lavoy Allen,388,6905,1847,828,1758,47.1,2,15,13.3,189,277,68.2,715,1128,1843,384,120,214,257,47.2,49.1
28,1728,Ian Clark,330,4506,1840,718,1635,43.9,240,705,34.0,164,204,80.4,65,375,440,385,128,44,236,51.3,53.3
29,1729,Reggie Harding,205,5529,1839,785,1901,41.3,,,,269,443,60.7,,,1865,343,,,,41.3,43.9
30,1730,John Amaechi,294,4811,1837,663,1646,40.3,1,13,7.7,510,760,67.1,230,542,772,228,90,94,386,40.3,46.4
31,1731,Eric Leckner,449,5452,1835,713,1403,50.8,0,5,0.0,409,611,66.9,362,1056,1418,211,84,140,386,50.8,54.9
32,1731,Boban Marjanovic,331,2883,1835,700,1211,57.8,10,42,23.8,425,558,76.2,402,787,1189,154,60,96,210,58.2,63.0
33,1731,Svi Mykhailiuk,293,4626,1835,645,1595,40.4,374,1029,36.3,171,225,76.0,96,403,499,386,158,26,238,52.2,54.2
34,1734,Donatas Motiejunas,251,4566,1832,731,1558,46.9,121,404,30.0,249,417,59.7,298,654,952,269,118,82,287,50.8,52.6
35,1734,Ralph Simpson,218,3980,1832,764,1890,40.4,0,2,0.0,304,420,72.4,142,303,445,479,189,17,238,40.4,44.1
36,1736,Tariq Abdul-Wahad,236,4809,1830,720,1726,41.7,18,76,23.7,372,529,70.3,286,490,776,266,184,83,309,42.2,46.7
37,1737,Charles Jones,726,14094,1826,725,1510,48.0,0,7,0.0,376,608,61.8,1112,2141,3253,623,442,1134,487,48.0,51.4
38,1737,Dennis Layton,264,4429,1826,765,1708,44.8,,,,296,396,74.7,22,90,353,699,51,11,59,44.8,48.5
39,1737,Win Wilfong,268,4810,1826,684,1897,36.1,,,,458,616,74.4,,,910,565,,,,36.1,42.1
40,1740,Rodney McGruder,317,6158,1825,681,1622,42.0,301,836,36.0,162,241,67.2,253,632,885,381,161,50,190,51.3,52.8
41,1741,Luke Babbitt,381,5332,1818,650,1593,40.8,394,979,40.2,124,166,74.7,111,735,846,224,89,58,165,53.2,54.6
42,1741,Terence Davis,227,3660,1818,661,1523,43.4,330,901,36.6,166,201,82.6,101,523,624,305,151,51,225,54.2,56.4
43,1741,Bob Donham,273,4866,1818,662,1379,48.0,,,,494,975,50.7,,,1071,706,,,,48.0,50.3
44,1744,Dante Exum,300,5633,1817,670,1554,43.1,220,655,33.6,257,335,76.7,116,474,590,672,123,49,357,50.2,53.4
45,1744,Steven Hunter,400,5991,1817,735,1313,56.0,0,1,0.0,347,715,48.5,482,782,1264,79,49,422,249,56.0,55.8
46,1746,Frank Jackson,214,3873,1816,656,1557,42.1,247,743,33.2,257,327,78.6,82,310,392,222,84,16,169,50.1,53.4
47,1746,Ronnie Lester,250,4959,1816,679,1449,46.9,5,22,22.7,453,575,78.8,148,325,473,1003,187,32,474,47.0,53.3
