,#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
32,882,Nick Collison,910,18600,5359,2212,4146,53.4,21,101,20.8,914,1265,72.3,1766,2935,4701,939,446,469,878,53.6,57.0
33,883,Eddie House,717,12405,5356,2078,5077,40.9,817,2096,39.0,383,450,85.1,164,1059,1223,1112,470,58,569,49.0,50.8
34,884,Al-Farouq Aminu,711,17698,5350,1948,4641,42.0,543,1634,33.2,911,1221,74.6,982,3298,4280,879,678,397,863,47.8,51.7
35,884,Kris Humphries,800,14232,5350,2078,4486,46.3,55,188,29.3,1139,1626,70.0,1387,2927,4314,556,326,454,691,46.9,51.4
36,886,Miles Bridges,360,11042,5342,2024,4310,47.0,591,1705,34.7,703,865,81.3,397,1749,2146,887,278,249,539,53.8,56.9
37,886,Brevin Knight,729,18176,5342,2019,4897,41.2,16,119,13.4,1288,1632,78.9,282,1503,1785,4481,1229,87,1367,41.4,47.6
38,888,Ollie Johnson,690,14554,5341,2235,4505,49.6,3,20,15.0,868,1049,82.7,599,1264,2280,1212,455,224,355,49.6,53.8
39,889,John Battle,612,10910,5338,2054,4430,46.4,62,227,27.3,1168,1472,79.3,178,646,824,1257,273,43,659,47.1,52.6
40,890,Shandon Anderson,719,15944,5327,1996,4366,45.7,307,972,31.6,1028,1392,73.9,583,1669,2252,1007,556,180,958,49.2,53.5
41,890,Malik Monk,458,9888,5327,1909,4413,43.3,799,2252,35.5,710,841,84.4,162,970,1132,1295,256,136,685,52.3,55.7
42,890,Anthony Morrow,564,12280,5327,1956,4380,44.7,807,1937,41.7,608,691,88.0,309,906,1215,494,317,75,380,53.9,56.9
43,893,Steve Stipanovich,403,12591,5323,2015,4160,48.4,10,56,17.9,1283,1611,79.6,771,2360,3131,938,415,380,777,48.6,54.7
44,894,John Clemens,790,12578,5316,2262,4989,45.3,,,,792,1049,75.5,102,295,2526,904,131,11,,45.3,48.8
45,895,Gene Banks,468,13074,5305,2134,3961,53.9,2,46,4.3,1035,1418,73.0,1009,1709,2718,1335,436,101,835,53.9,57.9
46,896,Bruce Bowen,873,24053,5290,1945,4761,40.9,818,2082,39.3,582,1013,57.5,469,1959,2428,1089,712,336,646,49.4,50.8
47,897,Ron Boone,379,10795,5284,2134,4703,45.4,30,89,33.7,986,1155,85.4,364,682,1046,1273,420,52,758,45.7,50.7
48,898,Travis Outlaw,622,13026,5273,1994,4713,42.3,344,1021,33.7,941,1265,74.4,480,1494,1974,514,331,381,512,46.0,50.0
49,899,Kyle Macy,551,14246,5259,2175,4339,50.1,192,568,33.8,717,821,87.3,311,903,1214,2198,631,49,712,52.3,55.9
50,900,Joe Bryant,606,12845,5252,2093,4648,45.0,23,115,20.0,1043,1404,74.3,825,1616,2441,1049,519,201,935,45.3,49.9
0,,,,,,,,,,,,,,,,,,,,,,,
1,901,James Bailey,595,11625,5246,2045,4228,48.4,1,13,7.7,1155,1644,70.3,1010,1978,2988,488,305,521,1057,48.4,53.0
2,902,Derek Smith,408,9825,5232,2031,4074,49.9,45,153,29.4,1125,1495,75.3,476,824,1300,866,265,175,700,50.4,55.3
3,903,Shaun Livingston,833,17188,5231,2149,4419,48.6,13,73,17.8,920,1159,79.4,491,1498,1989,2483,586,311,1034,48.8,53.1
4,904,John Salley,748,16524,5228,1871,3697,50.6,3,14,21.4,1483,2076,71.4,1226,2130,3356,916,451,983,949,50.6,56.7
5,905,Mark Eaton,875,25169,5216,2072,4526,45.8,0,2,0.0,1072,1653,64.9,1857,5082,6939,840,368,3064,1293,45.8,49.6
6,906,Othella Harrington,709,13924,5212,2021,4001,50.5,0,11,0.0,1170,1585,73.8,1087,2043,3130,443,185,286,948,50.5,55.5
7,907,Eric Money,426,10827,5211,2239,4536,49.4,0,0,0.0,733,980,74.8,338,556,894,1623,524,62,712,49.4,52.5
8,908,Jason Thompson,588,14819,5210,2112,4255,49.6,6,42,14.3,980,1492,65.7,1264,2616,3880,635,283,414,747,49.7,53.0
9,909,Mitch Kupchak,510,9905,5202,2003,3832,52.3,0,4,0.0,1196,1698,70.4,963,1767,2730,377,164,176,682,52.3,56.8
10,910,Joe Harris,504,12300,5185,1891,3949,47.9,1026,2354,43.6,377,489,77.1,264,1257,1521,790,241,95,522,60.9,62.3
11,911,Lucious Jackson,522,13783,5170,2004,4824,41.5,,,,1162,1610,72.2,,,4613,818,,,,41.5,46.7
12,912,Mike Sanders,648,12391,5162,2167,4499,48.2,19,86,22.1,809,1052,76.9,680,1247,1927,880,464,206,731,48.4,52.0
13,913,Jack George,506,15860,5153,1901,5226,36.4,,,,1351,1918,70.4,,,2129,2169,,,,36.4,42.4
14,913,Bobby Phills,467,13429,5153,1957,4416,44.3,342,878,39.0,897,1215,73.8,411,1058,1469,1246,592,139,711,48.2,52.0
15,915,Derrick White,418,11507,5151,1789,3978,45.0,679,1869,36.3,894,1047,85.4,229,1238,1467,1704,333,366,563,53.5,58.0
16,916,DeMarre Carroll,578,13674,5150,1806,4204,43.0,658,1839,35.8,880,1188,74.1,655,1799,2454,726,524,151,498,50.8,54.5
17,916,Chris Wilcox,628,12474,5150,2101,3884,54.1,0,18,0.0,948,1474,64.3,970,2106,3076,455,322,246,705,54.1,56.8
18,918,Tyler Herro,284,9036,5147,1889,4296,44.0,733,1904,38.5,636,729,87.2,119,1284,1403,1036,194,53,613,52.5,55.7
19,919,Lewis Lloyd,388,9406,5130,2172,4144,52.4,10,46,21.7,776,1006,77.1,488,704,1192,1138,365,133,820,52.5,55.9
20,919,Mccoy McLemore,580,12221,5130,1947,4943,39.4,,,,1236,1603,77.1,,,3161,733,,,,39.4,45.4
21,921,Ernie Grunfeld,693,12916,5124,2065,4328,47.7,33,98,33.7,961,1248,77.0,516,1299,1815,1419,472,134,801,48.1,52.5
22,922,Allan Bristow,648,13277,5122,1977,4296,46.0,16,56,28.6,1152,1444,79.8,893,1720,2613,2098,490,40,800,46.2,51.9
23,923,Blair Rasmussen,532,11409,5119,2248,4767,47.2,9,35,25.7,614,801,76.7,913,2093,3006,467,210,484,460,47.3,50.0
24,924,Eric Murdock,508,11883,5118,1889,4310,43.8,296,863,34.3,1044,1329,78.6,339,922,1261,2467,830,69,991,47.3,52.3
25,924,John Tresvant,559,12296,5118,1920,4256,45.1,,,,1278,1843,69.3,,,3546,806,,,,45.1,50.5
26,926,Howard Eisley,786,16016,5116,1881,4617,40.7,516,1474,35.0,838,1013,82.7,208,1116,1324,2748,540,83,1172,46.3,50.5
27,927,George Lynch,774,17682,5109,2086,4677,44.6,146,477,30.6,791,1213,65.2,1508,2394,3902,1121,817,258,890,46.2,49.0
28,928,Alan Henderson,652,13776,5094,1976,4215,46.9,5,26,19.2,1137,1778,63.9,1426,1823,3249,397,364,297,717,46.9,51.0
29,929,Taurean Prince,502,12238,5089,1807,4261,42.4,841,2239,37.6,634,782,81.1,228,1576,1804,850,399,209,721,52.3,55.3
30,930,Jim Price,510,12815,5088,2129,4798,44.4,,,,830,1018,81.5,389,1062,1566,1886,724,126,275,44.4,48.5
31,931,Tony Battie,837,17650,5082,2143,4387,48.8,12,74,16.2,784,1137,69.0,1376,2911,4287,522,420,713,704,49.0,52.0
32,932,JJ Hickson,534,11925,5081,2049,4056,50.5,0,21,0.0,983,1593,61.7,1173,2466,3639,449,274,309,774,50.5,53.4
33,933,Sidney Green,679,13247,5080,1993,4386,45.4,1,27,3.7,1093,1481,73.8,1300,2828,4128,635,369,220,1038,45.5,50.4
34,934,Keyon Dooling,728,14134,5067,1810,4356,41.6,446,1277,34.9,1001,1253,79.9,132,832,964,1601,463,75,803,46.7,51.6
35,935,James Silas,357,8633,5060,1810,3730,48.5,0,11,0.0,1440,1690,85.2,161,584,745,1215,252,56,687,48.5,56.6
36,936,Matt Geiger,552,12219,5059,2039,4083,49.9,16,69,23.2,965,1325,72.8,1152,2006,3158,388,306,347,744,50.1,54.2
37,937,Dario Saric,477,10869,5057,1805,4058,44.5,631,1745,36.2,816,973,83.9,664,1912,2576,917,271,96,706,52.3,56.4
38,938,Martell Webster,580,13914,5056,1696,4062,41.8,790,2067,38.2,874,1105,79.1,352,1459,1811,588,299,160,536,51.5,55.6
39,939,Elfrid Payton,500,13383,5036,2086,4666,44.7,190,662,28.7,674,1082,62.3,523,1484,2007,2867,588,151,1084,46.7,49.0
40,940,T.R. Dunn,993,23080,5033,2030,4443,45.7,1,20,5.0,972,1341,72.5,1729,2642,4371,1631,1316,252,815,45.7,50.0
41,941,Seth Curry,482,11317,5032,1843,3916,47.1,862,2001,43.1,484,560,86.4,150,861,1011,975,332,66,497,58.1,60.4
42,942,Ben McLemore,556,12534,5015,1768,4270,41.4,868,2392,36.3,611,783,78.0,222,1047,1269,563,353,106,608,51.6,54.3
43,943,Rod Thorn,466,10376,5012,1939,4479,43.3,,,,1134,1569,72.3,,,1463,1214,,,,43.3,48.5
44,944,K.C. Jones,676,17501,5011,1919,4961,38.7,,,,1173,1814,64.7,,,2399,2908,,,,38.7,43.5
45,945,Larry Steele,610,14777,5009,2020,4180,48.3,0,4,0.0,969,1218,79.6,428,917,1781,1719,846,96,195,48.3,53.1
46,946,Malik Rose,813,13404,5003,1792,4104,43.7,14,79,17.7,1405,1892,74.3,1166,2205,3371,684,487,293,1059,43.8,50.7
47,947,Walt Wesley,590,10306,5002,2002,4614,43.4,,,,998,1585,63.0,81,119,3243,385,16,25,,43.4,47.1
48,948,OG Anunoby,418,12148,5001,1893,3994,47.4,692,1839,37.6,523,702,74.5,452,1334,1786,667,527,224,547,56.1,58.1
49,949,Thabo Sefolosha,869,19062,4994,1916,4264,44.9,513,1468,34.9,649,887,73.2,626,2626,3252,1196,935,366,755,50.9,53.6
50,950,Paul Neumann,451,11003,4989,1827,4136,44.2,,,,1335,1670,79.9,,,1318,1453,,,,44.2,51.2
0,,,,,,,,,,,,,,,,,,,,,,,
1,951,Jodie Meeks,539,12110,4988,1665,3969,42.0,775,2078,37.3,883,1004,87.9,148,972,1120,583,413,36,410,51.7,56.5
2,952,Bo Outlaw,914,20742,4970,2005,3534,56.7,3,38,7.9,957,1837,52.1,1685,2752,4437,1441,855,1193,1056,56.8,57.2
3,953,Mike McGee,520,9271,4968,2087,4286,48.7,306,866,35.3,488,817,59.7,542,570,1112,629,371,49,630,52.3,53.5
4,954,Tony Delk,545,11705,4957,1874,4593,40.8,472,1376,34.3,737,958,76.9,349,1002,1351,1024,447,77,573,45.9,49.4
5,955,Malik Sealy,493,11725,4955,1865,4375,42.6,158,541,29.2,1067,1319,80.9,505,1080,1585,816,518,157,681,44.4,50.0
6,956,Greg Anderson,680,14043,4953,2011,4090,49.2,2,23,8.7,929,1668,55.7,1432,2814,4246,385,480,590,926,49.2,51.3
7,957,Hakim Warrick,526,10624,4947,1776,3627,49.0,21,110,19.1,1374,1892,72.6,692,1425,2117,400,218,154,624,49.3,55.5
8,958,Bryant Reeves,395,12069,4945,1999,4208,47.5,2,27,7.4,945,1345,70.3,856,1889,2745,623,200,302,744,47.5,51.5
9,959,Mark Blount,605,13981,4941,2020,4011,50.4,37,103,35.9,864,1195,72.3,895,1889,2784,513,327,508,933,50.8,54.5
10,960,Frank Johnson,596,12897,4937,1947,4433,43.9,53,243,21.8,990,1303,76.0,309,716,1025,2476,570,36,1054,44.5,49.3
11,961,Woody Sauldsberry,462,12788,4930,2189,6288,34.8,,,,552,905,61.0,,,3618,498,,,,34.8,36.9
12,962,Charlie Share,596,13023,4928,1562,3905,40.0,,,,1804,2604,69.3,,,4986,809,,,,40.0,48.8
13,963,Ryan Gomes,487,13463,4926,1891,4249,44.5,334,956,34.9,810,1014,79.9,617,1622,2239,712,351,78,550,48.4,52.5
14,964,Robert Pack,552,11463,4921,1739,4090,42.5,114,390,29.2,1329,1689,78.7,261,851,1112,2556,605,43,1320,43.9,50.9
15,965,Kevin Huerter,413,11888,4920,1856,4184,44.4,891,2335,38.2,317,414,76.6,245,1188,1433,1258,378,143,516,55.0,56.3
16,966,Clark Kellogg,260,8514,4918,2008,4041,49.7,23,68,33.8,879,1161,75.7,852,1630,2482,764,381,105,731,50.0,54.0
17,967,Jamaal Magloire,680,14621,4917,1763,3675,48.0,0,7,0.0,1391,2176,63.9,1418,2990,4408,386,224,603,998,48.0,53.1
18,968,Jerryd Bayless,586,12486,4909,1719,4180,41.1,499,1382,36.1,972,1188,81.8,176,1059,1235,1674,370,73,825,47.1,52.2
19,969,Al Wood,417,9939,4902,1980,4254,46.5,40,190,21.1,902,1143,78.9,459,803,1262,742,310,159,569,47.0,51.5
20,970,Ben Poquette,718,15763,4899,1975,4092,48.3,13,59,22.0,936,1202,77.9,1061,2670,3731,872,384,794,686,48.4,53.0
21,971,Coby White,348,10116,4896,1770,4141,42.7,769,2083,36.9,587,692,84.8,133,1133,1266,1288,223,56,575,52.0,55.1
22,972,Ed Conlin,486,11392,4891,1862,5039,37.0,,,,1167,1556,75.0,,,2349,949,,,,37.0,42.7
23,973,Johnny Moore,520,13430,4890,1998,4343,46.0,94,374,25.1,800,1123,71.2,391,1157,1548,3866,1017,116,1163,47.1,50.5
24,974,Gary Trent Jr.,341,9805,4874,1748,4144,42.2,835,2166,38.6,543,663,81.9,134,681,815,512,408,71,243,52.3,54.9
25,975,Dave Stallworth,522,10494,4860,1883,4296,43.8,,,,1094,1495,73.2,58,87,2453,872,31,7,,43.8,49.1
26,976,Mel Hutchins,437,16574,4851,1931,4962,38.9,,,,989,1470,67.3,,,4186,1298,,,,38.9,43.2
27,977,Lloyd Neal,435,11015,4846,1981,4087,48.5,,,,884,1316,67.2,686,1717,3370,632,178,324,102,48.5,51.9
28,978,Phil Jordon,442,10792,4835,1965,4940,39.8,,,,905,1312,69.0,,,3028,769,,,,39.8,43.8
29,979,Tyrese Maxey,266,8228,4833,1758,3756,46.8,535,1350,39.6,782,907,86.2,96,682,778,1086,199,86,325,53.9,58.2
30,980,Andrew Bynum,418,10690,4822,1917,3446,55.6,1,9,11.1,987,1431,69.0,1007,2214,3221,490,133,657,644,55.6,59.2
31,981,Flip Murray,487,11074,4817,1806,4360,41.4,328,1079,30.4,877,1210,72.5,192,814,1006,1096,404,100,742,45.2,49.2
32,982,Winston Garland,511,13391,4799,1912,4444,43.0,73,260,28.1,902,1087,83.0,413,1020,1433,2421,674,80,975,43.8,48.7
33,983,T.J. Ford,429,11885,4797,1829,4223,43.3,127,439,28.9,1012,1242,81.5,296,1035,1331,2495,496,55,1047,44.8,50.3
34,983,Ron Williams,516,11478,4797,1858,4214,44.1,,,,1081,1298,83.3,31,100,971,1818,75,4,,44.1,50.1
35,985,Trey Burke,498,10401,4792,1847,4500,41.0,564,1637,34.5,534,659,81.0,164,714,878,1522,274,52,555,47.3,50.0
36,986,Ledell Eackles,441,8917,4783,1810,4071,44.5,137,408,33.6,1026,1338,76.7,362,617,979,740,249,31,600,46.1,51.3
37,987,Keldon Johnson,293,8762,4782,1756,3780,46.5,493,1376,35.8,777,1022,76.0,334,1287,1621,672,209,71,417,53.0,56.5
38,987,Patrick Patterson,719,14923,4782,1871,4185,44.7,630,1709,36.9,410,543,75.5,822,1977,2799,736,368,296,450,52.2,54.0
39,989,Ben Simmons,332,10790,4765,1960,3497,56.0,5,36,13.9,840,1426,58.9,594,2005,2599,2469,530,232,1049,56.1,57.8
40,990,E'Twaun Moore,598,12564,4743,1927,4236,45.5,556,1432,38.8,333,449,74.2,282,926,1208,1055,395,131,534,52.1,53.5
41,991,Lance Stephenson,554,12680,4738,1885,4240,44.5,373,1189,31.4,595,857,69.4,344,1907,2251,1621,357,76,908,48.9,51.3
42,991,Freeman Williams,323,6606,4738,1959,4198,46.7,127,384,33.1,693,841,82.4,256,254,510,516,247,18,568,48.2,51.9
43,993,Nate McMillan,796,20466,4733,1833,4136,44.3,298,870,34.3,769,1183,65.0,919,2303,3222,4893,1544,356,1486,47.9,50.8
44,994,Jon Barry,821,13880,4715,1595,3672,43.4,657,1676,39.2,868,1023,84.8,318,1195,1513,1784,722,111,808,52.4,57.2
45,995,Tyronn Lue,554,12568,4710,1765,4039,43.7,460,1175,39.1,720,868,82.9,132,811,943,1727,286,10,659,49.4,53.3
46,996,Earl Lloyd,560,14477,4682,1766,4955,35.6,,,,1150,1533,75.0,,,3609,810,,,,35.6,41.6
47,997,T.J. McConnell,627,13507,4676,2083,4039,51.6,157,449,35.0,353,450,78.4,341,1520,1861,3191,766,112,1017,53.5,55.2
48,997,Sean Rooks,749,13559,4676,1710,3725,45.9,2,22,9.1,1254,1795,69.9,943,1934,2877,631,255,499,804,45.9,51.8
49,999,Joe Kleine,965,14712,4666,1902,4201,45.3,13,48,27.1,849,1069,79.4,1268,2723,3991,622,261,285,777,45.4,49.9
50,999,Kermit Washington,507,12815,4666,1778,3382,52.6,0,4,0.0,1110,1691,65.6,1522,2710,4232,695,403,550,629,52.6,56.5
0,,,,,,,,,,,,,,,,,,,,,,,
1,1001,Fred Hetzel,416,8885,4658,1789,4246,42.1,,,,1080,1322,81.7,,,2444,462,,,,42.1,48.2
2,1002,Rodney Hood,448,10977,4656,1688,4023,42.0,647,1770,36.6,633,753,84.1,158,1002,1160,736,301,80,426,50.0,53.5
3,1003,Jamaal Tinsley,547,14443,4652,1759,4481,39.3,397,1326,29.9,737,1029,71.6,345,1260,1605,3330,776,155,1375,43.7,47.1
4,1004,Omri Casspi,588,11961,4642,1718,3781,45.4,493,1339,36.8,713,1052,67.8,473,1882,2355,662,362,134,595,52.0,54.7
5,1005,Dwight Powell,650,12015,4640,1720,2855,60.2,122,417,29.3,1078,1459,73.9,1044,1833,2877,677,398,288,448,62.4,66.3
6,1006,Troy Hudson,517,11284,4637,1714,4278,40.1,452,1333,33.9,757,882,85.8,193,684,877,1748,273,30,818,45.3,49.7
7,1007,Si Green,504,13132,4636,1732,4481,38.7,,,,1172,1735,67.6,,,2152,1655,,,,38.7,44.2
8,1008,Matt Bonner,792,13357,4632,1749,3768,46.4,797,1923,41.4,337,432,78.0,622,1749,2371,552,285,213,299,57.0,58.5
9,1009,Sarunas Marciulionis,363,8136,4631,1571,3109,50.5,127,344,36.9,1362,1773,76.8,292,527,819,807,459,31,715,52.6,59.5
10,1010,Mickael Pietrus,557,11946,4629,1625,3821,42.5,679,1910,35.5,700,1053,66.5,440,1283,1723,445,371,230,576,51.4,54.0
11,1011,Joe Ellis,524,10374,4623,1946,4884,39.8,,,,731,1005,72.7,37,85,2686,716,33,9,,39.8,43.4
12,1012,Buck Johnson,505,11849,4617,1922,3942,48.8,7,62,11.3,766,1038,73.8,623,1137,1760,856,404,252,664,48.8,52.5
13,1012,Christian Wood,339,7858,4617,1671,3252,51.4,415,1117,37.2,860,1239,69.4,460,1906,2366,469,183,295,487,57.8,60.8
14,1014,Ivica Zubac,504,10810,4613,1865,3046,61.2,1,12,8.3,882,1194,73.9,1236,2496,3732,580,163,485,578,61.2,64.6
15,1015,Kurt Rambis,880,16299,4603,1802,3376,53.4,0,14,0.0,999,1450,68.9,1640,3321,4961,931,761,456,1033,53.4,57.3
16,1016,Kevin Kunnert,555,12104,4602,2022,4251,47.6,0,0,0.0,558,818,68.2,1393,2638,4031,784,252,616,391,47.6,49.9
17,1016,Jack Nichols,455,10703,4602,1785,4833,36.9,,,,1032,1366,75.5,,,2782,883,,,,36.9,42.3
18,1018,Randy Breuer,681,12499,4599,1898,4060,46.7,0,4,0.0,803,1278,62.8,1061,1925,2986,616,305,750,676,46.7,49.7
19,1019,Dorell Wright,549,12281,4597,1657,3908,42.4,617,1691,36.5,666,826,80.6,375,1718,2093,850,418,271,475,50.3,53.8
20,1020,Tom Boerwinkle,635,14387,4596,1863,4109,45.3,,,,870,1288,67.5,536,1220,5745,2007,110,138,26,45.3,49.1
21,1021,Gorgui Dieng,628,12625,4591,1736,3500,49.6,196,552,35.5,923,1167,79.1,1048,2486,3534,837,468,549,687,52.4,57.2
22,1022,Stromile Swift,547,10804,4582,1713,3623,47.3,2,27,7.4,1154,1650,69.9,885,1650,2535,275,354,683,690,47.3,52.7
23,1023,Curtis Perry,480,13656,4578,1904,4188,45.5,,,,770,1101,69.9,1022,1950,4239,906,379,291,63,45.5,49.0
24,1024,Anderson Varejao,632,15089,4574,1808,3550,50.9,1,43,2.3,957,1518,63.0,1511,3020,4531,737,537,407,593,50.9,54.2
25,1025,Bob Gross,513,12575,4567,1857,3629,51.2,5,28,17.9,848,1062,79.8,940,1313,2253,1481,615,361,729,51.2,55.7
26,1026,Zaid Abdul-Aziz,505,11023,4557,1769,4138,42.8,,,,1019,1400,72.8,503,1124,4065,601,131,205,11,42.8,47.9
27,1027,Zion Williamson,184,5857,4542,1753,2960,59.2,29,85,34.1,1007,1449,69.5,411,788,1199,761,182,111,518,59.7,63.1
28,1028,Bison Dele,413,10004,4536,1847,3499,52.8,2,14,14.3,840,1215,69.1,853,1711,2564,440,320,355,822,52.8,56.2
29,1029,Alex Len,644,11374,4534,1748,3428,51.0,110,339,32.4,928,1363,68.1,1148,2381,3529,551,239,594,718,52.6,56.3
30,1030,Micheal Williams,413,10403,4533,1470,3170,46.4,48,211,22.7,1545,1780,86.8,300,750,1050,2385,717,95,938,47.1,57.3
31,1031,Mike Evans,591,9858,4531,1835,4060,45.2,231,753,30.7,630,781,80.7,184,624,808,1514,430,51,818,48.0,51.4
32,1032,Garrett Temple,743,15235,4529,1617,4030,40.1,714,2077,34.4,581,783,74.2,309,1373,1682,1229,593,239,658,49.0,51.8
33,1033,Kyle Anderson,653,14323,4519,1768,3693,47.9,266,787,33.8,717,1004,71.4,500,2361,2861,1833,659,408,677,51.5,54.6
34,1034,Darius Miles,446,11726,4507,1874,3973,47.2,22,131,16.8,737,1250,59.0,575,1615,2190,840,384,495,892,47.4,49.8
35,1035,Mike Glenn,593,9617,4496,1958,3611,54.2,8,28,28.6,572,669,85.5,152,558,710,952,318,43,429,54.3,57.6
36,1036,Pervis Ellison,474,11592,4494,1826,3579,51.0,1,20,5.0,841,1221,68.9,1087,2083,3170,691,293,752,798,51.0,54.6
37,1037,Anfernee Simons,319,8128,4489,1590,3679,43.2,752,1946,38.6,557,638,87.3,108,676,784,928,140,43,484,53.4,56.7
38,1038,Jakob Poeltl,538,11634,4487,1985,3144,63.1,2,4,50.0,515,958,53.8,1415,2191,3606,925,315,686,610,63.2,62.9
39,1039,Don Buse,648,17070,4485,1829,4139,44.2,169,507,33.3,658,844,78.0,373,1134,1507,2920,1160,97,601,46.2,49.7
40,1040,Trey Lyles,581,10622,4484,1615,3644,44.3,565,1626,34.7,689,925,74.5,504,2006,2510,615,219,206,478,52.1,55.3
41,1041,Tyrese Haliburton,260,8548,4483,1634,3417,47.8,638,1622,39.3,577,674,85.6,168,792,960,2274,385,150,591,57.2,60.4
42,1042,Anthony Parker,494,13752,4478,1661,3744,44.4,596,1474,40.4,560,705,79.4,241,1333,1574,1129,439,85,495,52.3,55.2
43,1043,Austin Croshere,659,11481,4475,1491,3659,40.7,429,1262,34.0,1064,1236,86.1,700,1949,2649,627,245,216,656,46.6,53.2
44,1044,Sonny Parker,452,10916,4471,1862,3715,50.1,0,2,0.0,747,989,75.5,756,1085,1841,954,611,150,619,50.1,53.9
45,1045,Drazen Petrovic,290,7669,4461,1705,3369,50.6,255,583,43.7,796,946,84.1,240,429,669,701,265,27,596,54.4,58.9
46,1046,Anthony Tolliver,730,14197,4451,1466,3538,41.4,865,2320,37.3,654,848,77.1,545,1871,2416,650,272,215,462,53.7,56.9
47,1047,Jalen Green,225,7341,4450,1535,3645,42.1,545,1617,33.7,835,1051,79.4,117,816,933,748,169,64,526,49.6,54.2
48,1048,Anthony Johnson,793,15553,4432,1709,4131,41.4,332,933,35.6,682,916,74.5,293,1065,1358,2274,551,92,866,45.4,48.9
49,1049,Andrew Lang,737,15348,4431,1780,3785,47.0,5,20,25.0,866,1164,74.4,1188,2323,3511,424,332,1099,697,47.1,51.6
50,1050,Cedi Osman,476,10817,4427,1605,3711,43.2,714,1998,35.7,503,707,71.1,216,1195,1411,933,312,71,483,52.9,55.0
0,,,,,,,,,,,,,,,,,,,,,,,
1,1051,Dave Robisch,508,10556,4426,1694,3710,45.7,0,4,0.0,1038,1275,81.4,798,1822,2620,813,220,193,415,45.7,51.8
2,1052,Jerome Whitehead,679,11828,4423,1810,3642,49.7,0,2,0.0,803,1118,71.8,1141,2127,3268,374,251,200,696,49.7,53.5
3,1053,Josh Hart,453,13233,4422,1598,3483,45.9,568,1653,34.4,658,880,74.8,523,2446,2969,1235,436,148,578,54.0,57.1
4,1054,Tyus Jones,601,12250,4420,1727,3881,44.5,526,1432,36.7,440,541,81.3,151,1027,1178,2593,598,57,466,51.3,53.7
5,1055,Bob Harrison,615,12926,4418,1782,5067,35.2,,,,854,1232,69.3,,,1358,1672,,,,35.2,39.4
6,1056,John Williams,435,10952,4406,1769,3921,45.1,65,289,22.5,803,1140,70.4,632,1569,2201,1262,566,184,684,45.9,49.8
7,1057,Geoff Huston,496,12252,4380,1836,3805,48.3,16,63,25.4,692,978,70.8,201,483,684,2509,331,32,899,48.5,51.7
8,1057,Luc Mbah a Moute,689,16038,4380,1685,3708,45.4,207,619,33.4,803,1218,65.9,962,1838,2800,588,612,263,646,48.2,51.6
9,1057,Jabari Parker,310,8535,4380,1767,3579,49.4,212,651,32.6,634,853,74.3,449,1254,1703,610,271,118,534,52.3,55.4
10,1060,Jim King,607,11187,4377,1700,4067,41.8,,,,977,1249,78.2,,,1500,1412,,,,41.8,47.4
11,1061,Cody Zeller,552,11511,4376,1649,3172,52.0,33,150,22.0,1045,1438,72.7,1067,2058,3125,740,332,330,552,52.5,57.5
12,1062,George Johnson,904,18102,4369,1802,3995,45.1,1,2,50.0,764,1101,69.4,1960,3789,5887,929,456,2082,872,45.1,48.8
13,1063,Gary Grant,552,12602,4368,1864,4140,45.0,95,342,27.8,545,702,77.6,347,936,1283,3013,821,69,1268,46.2,49.1
14,1064,Gary Trent,506,9866,4366,1792,3580,50.1,4,50,8.0,778,1210,64.3,842,1434,2276,504,223,174,599,50.1,53.1
15,1065,Dorian Finney-Smith,528,14704,4360,1598,3674,43.5,791,2226,35.5,373,516,72.3,803,1622,2425,761,427,242,458,54.3,55.9
16,1066,C.J. Watson,600,12094,4344,1516,3617,41.9,471,1263,37.3,841,1036,81.2,218,938,1156,1485,559,67,650,48.4,53.3
17,1067,Lester Conner,687,14970,4337,1639,3618,45.3,22,109,20.2,1037,1378,75.3,633,1228,1861,2669,1085,64,914,45.6,51.3
18,1068,Damon Jones,657,13461,4326,1517,3730,40.7,941,2414,39.0,351,483,72.7,115,959,1074,1806,257,20,551,53.3,54.9
19,1069,Francisco Garcia,549,11853,4323,1564,3659,42.7,581,1627,35.7,614,768,79.9,278,1122,1400,747,441,388,545,50.7,54.1
20,1070,Marquis Daniels,548,11703,4319,1772,3933,45.1,103,439,23.5,672,932,72.1,521,1031,1552,966,509,137,644,46.4,49.7
21,1071,Mark Bryant,797,13473,4313,1739,3481,50.0,1,12,8.3,834,1196,69.7,1120,1872,2992,491,330,195,661,50.0,53.8
22,1072,Ed Davis,722,13756,4291,1773,3128,56.7,0,4,0.0,745,1277,58.3,1590,3026,4616,539,349,566,532,56.7,58.1
23,1073,Matt Guokas,735,16603,4285,1792,3665,48.9,,,,701,964,72.7,77,246,1446,2174,117,41,,48.9,52.4
24,1073,P.J. Washington,333,10082,4285,1608,3596,44.7,589,1662,35.4,480,681,70.5,391,1449,1840,747,315,322,509,52.9,55.0
25,1075,Maurice Harkless,621,14020,4259,1686,3554,47.4,378,1182,32.0,509,816,62.4,658,1540,2198,572,583,399,521,52.8,54.4
